anchor,number,name,x,y
0,982,Escherichia 15,226.2480519480519,143.8288593242694
1,959,,468.42987012987004,143.8288593242694
2,958,E. coli CO1288,708.8818181818181,143.8288593242694
3,955,,963.1727272727271,143.8288593242694
4,952,,1175.9467532467531,143.8288593242694
5,988,E. coli 123,226.2480519480519,290.8678203632305
6,987,Escherichia 108,468.42987012987004,290.8678203632305
7,986,Escherichia 105,708.8818181818181,290.8678203632305
8,985,Escherichia 43,963.1727272727271,290.8678203632305
9,984,E. coli 32,1175.9467532467531,290.8678203632305
10,995,Escherichia 445,226.2480519480519,444.8262619216721
11,994,E. coli 443,468.42987012987004,444.8262619216721
12,993,E. coli 257,708.8818181818181,444.8262619216721
13,992,E. coli 207,963.1727272727271,444.8262619216721
14,990,E. coli 199,1175.9467532467531,444.8262619216721
15,1003,E. coli 668,226.2480519480519,600.5145736099837
16,1001,E. coli 645,468.42987012987004,600.5145736099837
17,999,E. coli 629,708.8818181818181,600.5145736099837
18,998,E. coli 480,963.1727272727271,600.5145736099837
19,996,E. coli 478,1175.9467532467531,600.5145736099837
20,1012,E. coli 860,226.2480519480519,780.4210671164773
21,1011,E. coli 858,468.42987012987004,780.4210671164773
22,1009,Entero 854,708.8818181818181,780.4210671164773
23,1008,E. coli 685,963.1727272727271,780.4210671164773
24,1006,E. coli 680,1175.9467532467531,780.4210671164773
25,1020,E. coli 1068,226.2480519480519,922.2704177658279
26,1019,E. coli 966,468.42987012987004,922.2704177658279
27,1017,E. coli 945,708.8818181818181,922.2704177658279
28,1015,E. coli 942,963.1727272727271,922.2704177658279
29,1014,E. coli 940,1175.9467532467531,922.2704177658279
30,1034,,226.2480519480519,1065.8496385450487
31,1033,Escherichia ET124,468.42987012987004,1065.8496385450487
32,1032,E. coli ET87,708.8818181818181,1065.8496385450487
33,1028,E. coli 1082,963.1727272727271,1065.8496385450487
34,1025,E. coli 1079,1175.9467532467531,1065.8496385450487
35,M63,E. coli ET135,226.2480519480519,1212.8885995840096
36,1054,Entero 405 avibiocin,468.42987012987004,1212.8885995840096
37,1048,Entero BC36,708.8818181818181,1212.8885995840096
38,1044,Escherichia ET176,963.1727272727271,1212.8885995840096
39,1041,Escherichia ET172,1175.9467532467531,1212.8885995840096
